Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,28.0,31.054522869437914,1.0,22.732439190725163,1.0,13.204806549584049,3.0,11.096316023080337,3.0,10.797969981643451,9.0,50.533408197641776,11.0,197.73503505302895,0.0,0.0
1002,38.0,15.397456988419492,0.0,0.0,0.0,0.0,4.0,5.204673797069769,7.0,8.853810933191673,12.0,26.103980857080703,15.0,105.999576001696,0.0,0.0
1003,80.0,36.9463815637556,2.0,21.233676611105214,1.0,5.612302166348636,8.0,15.193816116840447,11.0,15.171785995062272,25.0,52.480214958960474,33.0,200.0,0.0,0.0
1004,41.0,51.124744376278116,1.0,27.677830058123444,0.0,0.0,2.0,10.393929944912172,6.0,22.355527404150678,13.0,74.49002979601192,19.0,326.9660987781793,0.0,0.0
1051,39.0,29.280818061009214,1.0,18.618506795754982,0.0,0.0,1.0,3.576026319553712,2.0,4.427717511622759,17.0,51.21407483280111,18.0,181.7998182001818,0.0,0.0
1053,39.0,19.69507976507305,0.0,0.0,0.0,0.0,2.0,5.038164093004509,7.0,9.729113677743957,15.0,34.47958808385436,15.0,103.4340091021928,0.0,0.0
1054,48.0,28.924200517020083,3.0,43.57298474945534,2.0,14.303082314238718,2.0,5.576311827357386,17.0,29.869103048405517,17.0,42.25492145555776,7.0,57.995028997514495,0.0,0.0
1055,61.0,30.4180234268646,0.0,0.0,0.0,0.0,2.0,5.487118988175259,6.0,8.617346718945237,26.0,47.89272030651341,25.0,149.30721452460583,2.0,99.73122435037573
1056,92.0,29.104437477657598,1.0,6.654688227856525,0.0,0.0,7.0,10.656436487638533,14.0,12.169574325675194,31.0,45.26736952775912,39.0,175.91339648173206,0.0,0.0
1057,28.0,21.75838863590445,0.0,0.0,0.0,0.0,1.0,4.255681334581666,6.0,13.273455301639272,10.0,30.32600454890068,11.0,106.23913463395789,0.0,0.0
1058,77.0,28.09214222650293,2.0,16.570008285004143,1.0,3.930663102865453,2.0,3.660657087947286,10.0,10.222649301793053,32.0,49.42466599737431,30.0,154.75883415011606,0.0,0.0
1059,65.0,32.31322953329754,4.0,43.21054337258291,0.0,0.0,4.0,9.781146839466928,21.0,30.014149527634455,15.0,31.25,20.0,138.86960144424384,1.0,49.71266082045776
1060,71.0,25.615585821232074,1.0,7.833920877399138,0.0,0.0,5.0,8.61207757759482,16.0,15.78952562343955,23.0,37.874421591713734,26.0,142.15418261344996,0.0,0.0
1061,58.0,44.27041591292467,1.0,17.5530981218185,0.0,0.0,3.0,10.96130658774526,11.0,23.405749303147008,22.0,73.11642128352554,21.0,225.49124879201116,0.0,0.0
1062,64.0,26.212749225904748,0.0,0.0,3.0,12.659296143134442,5.0,10.75893529576313,14.0,15.575630813047928,19.0,34.95474280668188,23.0,124.31088530969625,0.0,0.0
2000,449.0,24.306361933097417,6.0,6.003181686293735,6.0,3.643274818291668,59.0,11.934477694663467,124.0,18.958795199143797,122.0,37.36668974008711,131.0,121.62400542201674,1.0,5.413443637660895
3101,69.0,27.665733783469523,3.0,26.75704602211916,0.0,0.0,10.0,14.537842002733115,11.0,13.312034078807242,20.0,40.10266281681103,25.0,143.3239695006593,0.0,0.0
3102,35.0,33.5599428522116,1.0,17.461148943600488,0.0,0.0,3.0,12.674806709197684,18.0,53.230814727192076,6.0,25.857610756766075,7.0,91.06283335501496,0.0,0.0
3103,12.0,9.64855151120438,1.0,15.14004542013626,1.0,9.084302325581396,0.0,0.0,3.0,7.110184153769582,5.0,19.297568506368197,2.0,20.75765438505449,,
3151,40.0,22.65993666547702,0.0,0.0,1.0,5.838393274170948,9.0,23.930442181392753,10.0,15.626220798499883,9.0,23.774302620456467,11.0,103.53915662650603,0.0,0.0
3153,39.0,28.61503243037009,1.0,20.26342451874367,0.0,0.0,3.0,10.456240632951099,5.0,11.068068622025457,14.0,39.8349694124342,16.0,129.84905047881838,0.0,0.0
