ags,region,typ,unter 3 Jahre,3 bis unter 6 Jahre,6 bis unter 10 Jahre,10 bis unter 15 Jahre,15 bis unter 18 Jahre,18 bis unter 20 Jahre,20 bis unter 25 Jahre,25 bis unter 30 Jahre,30 bis unter 35 Jahre,35 bis unter 40 Jahre,40 bis unter 45 Jahre,45 bis unter 50 Jahre,50 bis unter 55 Jahre,55 bis unter 60 Jahre,60 bis unter 65 Jahre,65 bis unter 75 Jahre,75 Jahre und mehr,Insgesamt
08335,Konstanz, Landkreis,8137,8077,9992,12853,8022,6720,20979,19003,17843,17109,15839,17374,22993,22655,18471,27703,32535,286305
08336,Lörrach, Landkreis,6835,6822,8808,11128,6901,4646,11912,13278,14297,14270,13382,14759,19357,19492,15850,22080,24919,228736
08337,Waldshut, Landkreis,4927,5188,6612,8505,5417,3629,8891,9807,10348,10550,9764,10697,13747,14095,12138,17830,18858,171003
08415,Reutlingen, Landkreis,8666,8467,10495,13669,8583,6092,16625,17151,17934,17853,16868,18901,23537,23222,19336,27578,32057,287034
08416,Tübingen, Landkreis,6896,6709,8144,10268,6425,5702,20037,18693,16502,14699,12507,13519,16853,17111,14376,19790,20447,228678
08421,Ulm, kreisfreie Stadt,3801,3501,4534,5540,3274,2744,10149,11153,10225,8719,7858,7874,8878,8172,6971,10913,12484,126790
08426,Biberach, Landkreis,6619,6436,7955,10102,6501,4237,11396,12370,13369,13067,12051,13441,16506,15850,13519,18621,19242,201282
08436,Ravensburg, Landkreis,8724,8428,10539,13701,8825,6468,17744,18092,18254,17566,16595,18872,23232,22552,18791,27488,29553,285424
08437,Sigmaringen, Landkreis,3809,3756,4691,6291,4066,2897,7905,7856,7907,7622,7145,8367,10879,11369,9253,13011,14025,130849
09161,Ingolstadt, kreisfreie Stadt,4580,4138,4980,5839,3669,2566,8188,10664,11859,10273,9068,8811,9904,9377,8081,11782,13613,137392
09162,München, kreisfreie Stadt,49460,43810,51007,58467,33026,25469,94262,134897,140846,119702,101804,97814,107844,93744,72989,119222,139863,1484226
09163,Rosenheim, kreisfreie Stadt,1998,1736,2189,2779,1740,1274,4163,4837,4832,4308,3995,4027,4844,4547,3496,6063,6723,63551
09171,Altötting, Landkreis,3381,3245,4045,5060,3293,2187,6113,6406,6675,6919,6300,7239,9058,9310,7783,11727,12775,111516
09172,Berchtesgadener Land, Landkreis,2960,2857,3498,4418,2755,1999,6020,6616,6823,6568,6106,6462,8508,8345,6786,11460,13748,105929
09173,Bad Tölz-Wolfratshausen, Landkreis,3861,3772,4677,5976,3743,2654,6941,7118,7633,7874,7756,8387,11219,10408,8358,12666,14874,127917
09174,Dachau, Landkreis,4924,4694,6066,7239,4489,3081,8687,9364,10302,10887,10588,10679,13244,12308,9473,13865,15009,154899
09175,Ebersberg, Landkreis,4303,4686,5935,7408,4341,3133,8067,7906,8496,9650,9937,10312,12873,11301,8454,12125,14722,143649
09176,Eichstätt, Landkreis,4522,4370,5418,6482,4129,2919,7908,8060,8916,9082,8675,8771,10830,10491,8712,11643,11953,132881
09177,Erding, Landkreis,4212,4298,5231,6676,4398,3000,8100,8372,8701,9236,9368,10088,12679,11529,8600,12016,11678,138182
09178,Freising, Landkreis,5656,5405,6878,8304,5235,3824,12171,13101,13033,12810,12235,12695,15553,13890,10477,14094,14646,180007
09179,Fürstenfeldbruck, Landkreis,6560,6505,8674,10508,6336,4437,11635,12134,13205,14088,14314,14929,18532,16930,13010,21373,26141,219311
09180,Garmisch-Partenkirchen, Landkreis,2379,2312,2857,3612,2281,1746,4743,5131,5050,4961,4902,5492,7549,7364,5753,9885,12407,88424
09181,Landsberg am Lech, Landkreis,3389,3586,4568,5867,3764,2650,6778,6481,6902,7273,7263,8133,10981,10460,7997,11805,12405,120302
09182,Miesbach, Landkreis,2790,2819,3518,4604,2821,1945,5143,5447,5745,5960,6084,6735,8967,8365,6442,10146,12479,100010
09183,Mühldorf am Inn, Landkreis,3428,3481,4328,5302,3381,2389,6679,7175,7333,7166,7137,7669,9652,9535,7969,11493,11755,115872
09184,München, Landkreis,9931,10899,14142,18238,10375,7080,20621,19916,21072,22971,23860,24678,29974,25558,19347,31029,40782,350473
09185,Neuburg-Schrobenhausen, Landkreis,2957,2968,3822,4566,2909,2082,5446,5848,6129,6469,6250,6459,7950,8019,6667,9187,9575,97303
09186,Pfaffenhofen an der Ilm, Landkreis,4141,3981,4936,5880,3695,2622,7092,7720,8851,9112,8339,8459,10781,10612,8484,11708,11814,128227
09187,Rosenheim, Landkreis,7603,7471,9652,12011,7924,5415,14147,14889,15510,15700,15268,17420,22683,21674,17623,27177,29163,261330
09188,Starnberg, Landkreis,3646,3961,5406,7086,4323,2975,6928,6607,6600,7830,8302,9427,12346,11118,8611,13688,17813,136667
09189,Traunstein, Landkreis,4972,4851,5998,8052,5065,3459,9703,10506,10596,10447,10098,11330,14504,14938,12194,19273,21333,177319
09190,Weilheim-Schongau, Landkreis,3904,4036,5107,6391,4010,2879,7182,7473,7958,8158,7774,8611,11649,11479,9243,13908,15716,135478
09261,Landshut, kreisfreie Stadt,2070,2022,2473,3062,1874,1365,4723,5627,5532,4949,4812,4791,5664,5155,4274,6989,8029,73411
09262,Passau, kreisfreie Stadt,1260,1201,1452,1834,1182,1085,5158,5023,4128,3338,2717,2869,3464,3585,3214,5328,5965,52803
09263,Straubing, kreisfreie Stadt,1278,1168,1432,1966,1151,910,2786,3513,3409,3168,2905,3086,3667,3860,3191,5074,5227,47791
09271,Deggendorf, Landkreis,3127,3107,4139,5062,3471,2560,7327,7656,7255,7452,7031,8032,9747,10140,8621,12656,12095,119478
09272,Freyung-Grafenau, Landkreis,1997,1983,2441,3142,2303,1577,4412,4504,4299,4515,4307,5293,6559,7182,6402,9189,8257,78362
09273,Kelheim, Landkreis,3756,3623,4642,5952,3732,2709,7183,7598,7942,8108,7799,8399,10234,9999,8271,11659,11452,123058
09274,Landshut, Landkreis,4813,4943,6140,7748,4750,3409,8911,9076,9782,10300,10265,11322,13943,13457,10857,15540,14639,159895
09275,Passau, Landkreis,4861,5090,6658,8297,5521,3866,10495,10874,11035,11510,11242,13010,16003,16521,14486,22013,21174,192656
09276,Regen, Landkreis,2033,2031,2490,3219,2142,1689,4136,4493,4573,4467,4403,5082,6371,6652,6091,9177,8361,77410
09277,Rottal-Inn, Landkreis,3321,3269,4190,5403,3541,2525,7243,7302,7140,7379,7001,8050,9925,10218,8801,12791,13403,121502
09278,Straubing-Bogen, Landkreis,2943,2904,3645,4771,3056,2196,5475,5664,6105,6261,6237,7162,8674,8676,7299,10342,9710,101120
09279,Dingolfing-Landau, Landkreis,2886,2689,3327,4335,2812,2041,5390,6255,6474,6250,5970,6575,7880,8243,6974,9378,9204,96683
09361,Amberg, kreisfreie Stadt,1149,1011,1317,1773,1089,823,2387,2825,2760,2538,2350,2509,3293,3431,2975,4706,5271,42207
09362,Regensburg, kreisfreie Stadt,4502,3929,4763,5774,3268,2935,12605,16092,14833,11490,9181,9215,10314,9791,8043,12179,14180,153094
09363,Weiden in der Oberpfalz, kreisfreie Stadt,1191,1043,1357,1699,1132,882,2689,2869,2694,2554,2329,2651,3427,3416,2869,4637,5304,42743
09371,Amberg-Sulzbach, Landkreis,3030,2598,3375,4470,2951,2170,5672,5727,6137,5886,5784,6740,8948,9488,8034,10782,11257,103049
09372,Cham, Landkreis,3438,3471,4309,5471,3525,2623,7169,7505,7713,7692,7395,8623,10541,11188,9616,14199,13520,127998
09373,Neumarkt in der Oberpfalz, Landkreis,4072,3901,4951,6114,3856,2960,7854,8227,8277,8533,8106,9104,11604,11538,9499,13061,12916,134573
09374,Neustadt an der Waldnaab, Landkreis,2868,2428,3122,4099,2730,1964,5165,5319,5541,5663,5310,6167,8272,8516,7162,10168,9956,94450
09375,Regensburg, Landkreis,5660,5848,7287,9073,5734,3931,10465,10791,11526,12441,12357,13543,16768,16591,13877,19823,18355,194070
09376,Schwandorf, Landkreis,4126,4030,5073,6371,4225,3065,8390,8968,9083,9130,9029,10051,12257,12830,10574,15308,15362,147872
09377,Tirschenreuth, Landkreis,1828,1873,2375,2939,1939,1413,3842,4121,4081,4033,3976,4731,6153,6502,5598,8113,8529,72046
09461,Bamberg, kreisfreie Stadt,2362,1961,2418,2804,1712,1382,5986,7461,7098,5125,4252,4414,5380,5496,4542,6764,8216,77373
09462,Bayreuth, kreisfreie Stadt,1795,1627,2001,2629,1607,1933,8211,6910,5104,4209,3916,4105,5072,5068,4496,7527,8573,74783
09463,Coburg, kreisfreie Stadt,1052,987,1178,1634,959,826,2672,2884,2898,2448,2095,2395,3116,3318,2905,4381,5324,41072
09464,Hof, kreisfreie Stadt,1315,1310,1597,1811,1190,978,2810,2890,2882,2584,2456,2779,3476,3521,3143,5238,5845,45825
09471,Bamberg, Landkreis,4361,4365,5316,6727,4305,3015,7704,8349,9076,9428,8916,10095,12921,13250,10803,14717,13815,147163
09472,Bayreuth, Landkreis,2665,2668,3596,4576,2996,2084,5044,5216,5623,6205,5836,7226,9133,9372,7927,11562,11935,103664
09473,Coburg, Landkreis,2328,2318,2877,3608,2372,1730,4086,4412,5093,5153,4787,5582,7561,7837,6682,9860,10461,86747
09474,Forchheim, Landkreis,3272,3370,4219,5281,3330,2403,6067,6372,6859,7282,6975,7450,9983,10620,8702,12058,11960,116203
09475,Hof, Landkreis,2208,2251,2884,3797,2610,1791,4522,4674,4726,5053,4888,6255,8259,8688,7521,11412,13262,94801
09476,Kronach, Landkreis,1449,1483,2036,2547,1796,1328,3172,3416,3501,3656,3704,4610,6000,6261,5407,7911,8466,66743
09477,Kulmbach, Landkreis,1677,1619,2123,2980,1975,1387,3573,3690,3778,3907,3994,4848,6415,6470,5695,8612,8823,71566
09478,Lichtenfels, Landkreis,1710,1755,2211,2760,1760,1257,3485,3793,3762,3816,3868,4435,5659,6019,5171,7372,7943,66776
09479,Wunsiedel im Fichtelgebirge, Landkreis,1831,1738,2255,2873,1929,1382,3526,3724,3622,3864,3722,4505,6129,6551,5751,9077,10176,72655
09561,Ansbach, kreisfreie Stadt,1359,1216,1426,1859,1113,860,2573,2852,2667,2580,2409,2557,3222,3296,2843,4195,4771,41798
09562,Erlangen, kreisfreie Stadt,3221,3179,3820,4692,2806,2264,9521,11343,9483,7824,6418,6535,8006,7534,6008,8885,10989,112528
09563,Fürth, kreisfreie Stadt,4086,3802,4352,5297,3305,2513,7496,8963,9576,9386,8619,8592,10570,10168,8120,11589,12063,128497
09564,Nürnberg, kreisfreie Stadt,15753,14764,17687,21661,13046,9674,32479,41110,40707,36682,32998,33070,38496,35969,30085,47952,56237,518370
09565,Schwabach, kreisfreie Stadt,1247,1233,1497,1864,1121,830,2163,2273,2493,2561,2466,2642,3665,3354,2633,4142,4797,40981
09571,Ansbach, Landkreis,5510,5317,6572,8662,5516,3863,10584,10785,11255,11457,10825,12204,15428,15832,13339,18509,18933,184591
09572,Erlangen-Höchstadt, Landkreis,4126,4320,5459,6572,3952,2778,6720,6953,8084,9147,8682,9118,11528,11564,9875,14315,14069,137262
09573,Fürth, Landkreis,3471,3523,4306,5092,3064,2228,5654,5820,6682,7374,7242,7551,10246,10083,8317,13066,14134,117853
09574,Nürnberger Land, Landkreis,4754,4887,6119,7508,4874,3335,8527,8602,9791,10733,10146,11410,14944,14621,12142,18325,20074,170792
09575,Neustadt an der Aisch-Bad Windsheim, Landkreis,2891,2884,3620,4535,3014,2075,5519,5618,6061,6368,5820,6517,8609,8780,7406,10725,10572,101014
09576,Roth, Landkreis,3688,3725,4566,5659,3602,2652,6781,6705,7510,7681,7528,8387,11344,11042,9108,13032,13739,126749
09577,Weißenburg-Gunzenhausen, Landkreis,2768,2681,3280,4284,2877,1999,5053,5299,5813,5522,5456,5841,7691,8363,6985,10149,10673,94734
09661,Aschaffenburg, kreisfreie Stadt,2116,1921,2342,3029,1854,1350,3978,4962,5190,4747,4283,4559,5568,5500,4745,7185,7673,71002
09662,Schweinfurt, kreisfreie Stadt,1546,1488,1832,2381,1353,1127,3442,3620,3534,3258,2910,2983,3707,3921,3584,5651,7089,53426
09663,Würzburg, kreisfreie Stadt,3382,2963,3298,3973,2425,2696,13412,13988,11373,8281,6529,6389,8169,8249,7075,11219,14513,127934
09671,Aschaffenburg, Landkreis,4935,4748,5972,7696,5053,3451,8691,9485,10126,10556,9988,11334,15504,15750,12877,18646,19388,174200
09672,Bad Kissingen, Landkreis,2667,2596,3393,4316,2889,1990,5128,5303,5741,5772,5524,6401,8595,9252,8043,12224,13401,103235
09673,Rhön-Grabfeld, Landkreis,2116,2211,2770,3572,2385,1660,4116,4433,4489,4655,4280,5048,6588,7158,6173,8965,9016,79635
09674,Haßberge, Landkreis,2319,2381,2964,3676,2473,1752,4452,4605,4953,5201,4646,5356,7164,7865,6611,9253,8713,84384
09675,Kitzingen, Landkreis,2606,2557,3140,3955,2667,1873,4880,5489,5700,5687,5382,5854,7762,7928,6566,9583,9526,91155
09676,Miltenberg, Landkreis,3535,3514,4541,5776,3782,2725,6877,7120,7311,7672,7450,8707,11302,11249,9311,13648,14223,128743
09677,Main-Spessart, Landkreis,3319,3286,4080,5240,3558,2416,6334,6677,7120,7182,7018,8037,10979,11519,9892,14535,14966,126158
09678,Schweinfurt, Landkreis,3332,3294,3998,4959,3322,2340,5906,6521,7045,7002,6351,7158,9646,10359,8766,12474,12972,115445
09679,Würzburg, Landkreis,4750,4774,5801,7221,4583,3291,8569,8953,9629,10112,9793,10227,13249,14105,12059,18033,17153,162302
09761,Augsburg, kreisfreie Stadt,8813,8154,9525,11826,7301,5738,21412,25312,24820,21268,18585,18419,20861,20047,16910,26322,31269,296582
09762,Kaufbeuren, kreisfreie Stadt,1349,1273,1506,1992,1256,918,2450,2779,2920,2723,2572,2577,3385,3567,3018,4616,5497,44398
09763,Kempten (Allgäu), kreisfreie Stadt,2037,1905,2176,2854,1792,1395,4749,5386,4841,4449,4050,4127,4989,4744,4341,6935,8381,69151
09764,Memmingen, kreisfreie Stadt,1287,1240,1522,1954,1287,902,2420,2903,2970,2801,2695,2753,3408,3458,2914,4386,5200,44100
09771,Aichach-Friedberg, Landkreis,4226,4305,5229,6317,4093,2916,7296,7269,8188,8650,8275,8880,11914,11261,8914,13012,13910,134655
09772,Augsburg, Landkreis,7892,7817,9695,11831,7528,5305,13411,13807,15289,16185,15448,16747,21842,21101,17096,25476,26998,253468
09773,Dillingen an der Donau, Landkreis,2798,2799,3493,4532,2975,2029,5533,5742,5922,5802,5732,6362,8193,8053,6906,9712,9979,96562
09774,Günzburg, Landkreis,3823,3654,4589,5907,3858,2748,7406,7966,8087,7858,7741,8549,10672,10581,8817,12178,12593,127027
09775,Neu-Ulm, Landkreis,5362,5081,6467,8012,5112,3679,10307,10880,11631,11692,10650,11739,13837,13680,11444,16998,18633,175204
09776,Lindau (Bodensee), Landkreis,2299,2281,2763,3659,2467,1741,4296,4507,4923,4926,4677,5330,7137,6890,5440,8406,10239,81981
09777,Ostallgäu, Landkreis,4383,4230,5111,6681,4374,3016,7616,8178,8491,8618,8110,9361,11884,11557,9493,14653,15426,141182
09778,Unterallgäu, Landkreis,4403,4340,5352,6634,4269,3162,8364,8716,8692,8801,8547,9565,12158,11914,9678,14593,16153,145341
09779,Donau-Ries, Landkreis,3840,3759,4934,6327,4073,2958,7607,7898,8440,8384,8315,8940,11052,11109,9134,13110,13903,133783
09780,Oberallgäu, Landkreis,4591,4520,5309,6758,4372,3139,8125,8776,9280,9143,8994,10085,13430,13145,10689,16871,18781,156008
10041,Regionalverband Saarbrücken, Landkreis,8757,8305,10488,13178,8153,6256,19925,22607,21671,19920,17485,18845,25433,26953,24334,37129,39275,328714
10042,Merzig-Wadern, Landkreis,2337,2527,3375,4495,2927,2026,4910,5505,5916,6097,5818,6642,8810,9476,8438,11895,12049,103243
10043,Neunkirchen, Landkreis,3193,3288,4027,5238,3323,2394,6472,7193,7699,7596,6953,7662,10953,12140,10820,15566,16891,131408
10044,Saarlouis, Landkreis,4966,5037,6260,7886,4992,3612,9527,10796,11584,11122,10506,11309,15917,17693,15831,23154,24127,194319
10046,Sankt Wendel, Landkreis,1941,1965,2595,3474,2317,1531,3927,4500,4862,4794,4607,5293,7407,8416,7434,10848,11096,87007
11000,Berlin, kreisfreie Stadt,116834,112940,134465,155306,86329,62069,202015,280135,333561,292312,238403,220620,262286,262524,204167,325994,379531,3669491
12051,Brandenburg an der Havel, kreisfreie Stadt,1810,1927,2387,2747,1476,1074,2900,3399,5183,4817,3935,3744,5128,6194,5441,8256,11766,72184
12052,Cottbus, kreisfreie Stadt,2556,2561,3325,3828,2218,1610,4949,5503,7229,6511,5262,5228,7077,8387,7441,11481,14512,99678
12053,Frankfurt (Oder), kreisfreie Stadt,1316,1454,1828,2370,1330,1049,3039,2739,3701,3477,3213,3134,3920,5081,4835,6933,8332,57751
12054,Potsdam, kreisfreie Stadt,5911,5782,7347,8388,4486,3214,9636,11511,15730,14108,12577,10962,12166,12759,10033,15745,19979,180334
12060,Barnim, Landkreis,4645,5287,7121,8575,4707,2844,6385,6464,11263,12309,11826,11453,15230,17808,14976,20969,23382,185244
12061,Dahme-Spreewald, Landkreis,4474,4947,6336,7448,4165,2819,6014,6164,10388,11448,10474,10843,14476,15925,13415,18424,23031,170791
12062,Elbe-Elster, Landkreis,2283,2435,3133,4087,2475,1479,2732,3147,5578,5885,5381,6370,8375,10049,9331,13224,15863,101827
12063,Havelland, Landkreis,4014,4719,6304,7645,4606,3077,6150,5653,9512,10364,10035,10509,14977,15887,12462,17310,19772,162996
12064,Märkisch-Oderland, Landkreis,4837,5478,7452,8809,4902,2965,5801,5803,11458,13105,12327,11971,16318,20192,16701,22422,25210,195751
12065,Oberhavel, Landkreis,5278,5966,8063,9903,5977,3815,7667,7258,12408,13817,13299,13705,19174,20720,16371,22706,26787,212914
12066,Oberspreewald-Lausitz, Landkreis,2395,2707,3502,4256,2453,1575,3259,3506,6336,6409,6044,6524,8689,10477,9352,14012,17875,109371
12067,Oder-Spree, Landkreis,4465,4606,6360,7639,4348,2798,5543,5455,10145,10948,10423,10573,14597,17268,15393,22083,26159,178803
12068,Ostprignitz-Ruppin, Landkreis,2300,2549,3345,4146,2405,1544,3293,3334,5887,6004,5564,5715,7989,9846,9144,12286,13510,98861
12069,Potsdam-Mittelmark, Landkreis,5273,6215,8600,10965,6466,3855,7235,6428,11620,13779,14040,14355,19677,21252,17446,23297,26063,216566
12070,Prignitz, Landkreis,1664,1825,2419,2874,1760,1149,2529,2577,4407,4231,3714,4362,6092,7882,6888,9905,11880,76158
12071,Spree-Neiße, Landkreis,2498,2732,3675,4671,2607,1611,2925,3006,5771,6574,6001,6904,9550,11927,10901,15239,17128,113720
12072,Teltow-Fläming, Landkreis,4646,4907,6325,7723,4437,2926,6428,6422,11323,11627,10532,10800,14608,15974,12891,17579,20849,169997
12073,Uckermark, Landkreis,2594,2931,3814,5000,2903,1812,3615,3822,6566,6599,6367,6684,9550,12026,11023,15709,17932,118947
13003,Rostock, kreisfreie Stadt,5604,5370,6588,7601,4393,4261,14210,14449,18091,14610,11611,10348,13270,14989,13246,21456,29094,209191
13004,Schwerin, kreisfreie Stadt,2632,2736,3410,3991,2448,1887,4389,4662,6933,6256,5590,5123,6401,7375,6906,11067,13847,95653
13071,Mecklenburgische Seenplatte, Landkreis,5961,6460,8944,11104,6581,4237,8353,8814,15445,15491,14561,14597,19860,25564,23714,33028,35360,258074
13072,Rostock, Landkreis,5449,6319,8142,10002,5682,3293,6065,6624,13108,14188,13087,12813,17989,21657,18867,26001,26508,215794
13073,Vorpommern-Rügen, Landkreis,4906,5408,7730,9472,5283,3594,7662,8013,13539,14008,12895,12764,17768,21972,19889,28287,31512,224702
13074,Nordwestmecklenburg, Landkreis,3978,4250,5722,6880,4092,2660,5689,5994,10205,10514,9385,9598,12795,14598,13085,18690,19187,157322
13075,Vorpommern-Greifswald, Landkreis,5558,5916,8010,9878,5559,4042,9960,10242,15291,14493,13048,12792,17258,22166,20747,29168,31495,235623
13076,Ludwigslust-Parchim, Landkreis,5249,5695,7508,9109,5460,3265,6591,7461,12957,13407,12361,13036,17605,21359,19046,25929,25741,211779
14511,Chemnitz, kreisfreie Stadt,6823,6746,8417,9855,5630,4160,11905,13812,18148,16227,13572,13122,15868,17307,15637,30790,38315,246334
14522,Mittelsachsen, Landkreis,7191,7955,10726,12969,7476,4828,10283,11045,17535,18072,17273,18277,23304,26118,24273,40029,46745,304099
14524,Zwickau, Landkreis,7447,7958,10551,12783,7882,5055,10643,11236,17724,18500,16994,18988,24079,27133,24713,42428,50888,315002
14612,Dresden, kreisfreie Stadt,17674,17830,21925,24164,12771,11084,36060,39574,48834,41705,35238,30677,34109,34192,28663,50495,71785,556780
14625,Bautzen, Landkreis,7452,8379,11156,13530,7725,4593,8330,8920,16717,18144,17876,18320,22688,27565,24914,37252,46197,299758
14626,Görlitz, Landkreis,5709,6465,8630,10977,6251,3936,8097,7799,13369,14037,13568,14602,19032,22879,21293,33895,42186,252725
14627,Meißen, Landkreis,5887,6655,9107,10960,6493,3887,6831,7177,13577,15050,14540,15017,18723,21576,18847,29378,38012,241717
14628,Sächsische Schweiz-Osterzgebirge, Landkreis,6425,6996,9650,11386,6687,3949,7253,7514,14247,15143,15106,15255,18651,20904,18227,30275,37918,245586
14713,Leipzig, kreisfreie Stadt,19090,18641,21678,23329,12373,11396,41055,47508,58672,47833,37174,31739,35565,35954,30035,51216,69887,593145
14729,Leipzig, Landkreis,6471,7195,9576,11702,6532,4126,7340,7644,14592,16048,15775,16442,21256,23622,20670,32126,37022,258139
14730,Nordsachsen, Landkreis,5069,5464,7020,8520,5140,3143,5875,6423,11831,12845,11623,12423,16021,18430,16478,23804,27632,197741
15001,Dessau-Roßlau, kreisfreie Stadt,1732,1877,2391,2982,1731,1126,2683,3136,4464,4336,4098,4412,6092,7114,6345,11055,14529,80103
15002,Halle (Saale), kreisfreie Stadt,7047,6703,8346,10005,5505,5242,16926,15832,17974,15779,12933,13209,15292,15714,14008,26085,32162,238762
15003,Magdeburg, kreisfreie Stadt,6629,6611,8161,9365,5203,4491,15326,16114,18494,15568,12704,12779,15868,17208,14746,25805,32493,237565
15082,Anhalt-Bitterfeld, Landkreis,3511,3785,4996,6147,3587,2524,5142,5337,8902,9390,8629,9943,12887,14957,13870,20920,23959,158486
15083,Börde, Landkreis,4063,4691,6206,7568,4197,2651,5239,5884,10705,11301,10042,11201,14430,16485,14807,20934,20519,170923
15085,Harz, Landkreis,4666,5005,6680,8432,5114,3425,7153,7605,12169,12600,11412,13049,17281,19907,17886,28882,32044,213310
15086,Jerichower Land, Landkreis,2170,2360,3069,3709,2143,1352,2646,2861,5203,5470,5124,5514,7488,9010,7976,11088,12406,89589
15087,Mansfeld-Südharz, Landkreis,2690,3050,4253,5282,3143,2049,3939,4229,7176,7544,7036,8227,10720,12924,12010,19101,21569,134942
15090,Stendal, Landkreis,2593,2760,3747,4647,2813,1830,3756,4113,6711,6284,5707,6618,9338,11221,9979,13908,15165,111190
15091,Wittenberg, Landkreis,2775,2888,4010,4917,2921,1852,3653,4107,6967,6940,6490,7605,10307,12078,10995,16871,19577,124953
16051,Erfurt, kreisfreie Stadt,6234,6063,7808,8855,5019,4126,12850,12935,17278,15093,12787,12453,14480,15785,13858,22753,25604,213981
16052,Gera, kreisfreie Stadt,2301,2385,3131,3614,2101,1437,3409,3760,5760,5452,4789,4995,6570,8007,7794,12621,14999,93125
16053,Jena, kreisfreie Stadt,3227,3230,3901,4540,2491,2208,8844,9366,10546,8390,6242,5681,6389,6443,5917,10328,13600,111343
16054,Suhl, kreisfreie Stadt,681,869,1102,1193,718,564,1417,1438,1852,1872,1784,2094,2817,3266,3087,5851,6184,36789
16055,Weimar, kreisfreie Stadt,1802,1969,2425,2914,1604,1346,3865,4102,4755,4589,3815,3766,4387,4702,4031,6875,8281,65228
16056,Eisenach, kreisfreie Stadt,1134,1109,1399,1813,1073,738,1706,1963,2705,2802,2383,2657,3098,3563,3083,4760,6264,42250
16061,Eichsfeld, Landkreis,2888,2981,3980,4605,2804,1692,3393,3891,6270,6829,6153,6250,7493,8580,7893,12123,12181,100006
16062,Nordhausen, Landkreis,2005,2226,2822,3546,2045,1483,3784,3250,5063,4949,4386,5025,6354,7369,6734,10339,12036,83416
16066,Schmalkalden-Meiningen, Landkreis,2882,3213,4302,4913,2900,1931,4616,4635,7441,7830,6895,7774,9661,11721,10722,16075,17405,124916
16067,Gotha, Landkreis,3296,3653,4763,5691,3441,2288,5098,5147,8299,8726,7870,8621,10621,12087,10798,16578,17931,134908
16068,Sömmerda, Landkreis,1694,1917,2550,3074,1794,1115,2177,2341,4078,4547,4131,4603,5568,6424,5949,9196,8269,69427
16069,Hildburghausen, Landkreis,1481,1580,2205,2554,1558,967,2112,2347,3876,4246,3747,4016,4948,5991,5495,7950,8124,63197
16071,Weimarer Land, Landkreis,2095,2405,3288,3866,2230,1295,2728,2648,4710,5369,5091,5429,6487,7520,6936,10527,9532,82156
16072,Sonneberg, Landkreis,1149,1347,1773,2162,1394,880,1995,2033,3115,3466,3270,3784,4488,5463,5024,7719,8655,57717
16073,Saalfeld-Rudolstadt, Landkreis,2277,2547,3353,3842,2420,1555,3155,3297,5706,6007,5509,6287,7999,9746,8996,13991,16512,103199
16076,Greiz, Landkreis,2029,2402,3169,3884,2347,1409,2741,2546,4959,5482,5224,5865,7886,9375,8982,13507,15591,97398
16077,Altenburger Land, Landkreis,1934,2049,2811,3456,2115,1362,2576,2659,4622,4999,4635,5615,7260,8044,7679,12655,14922,89393
